Time,Sensor3
1,5.541006
201,5.9957547
402,5.447632
603,5.847913
803,5.253402
1003,5.7714477
1003,6.4238677
1203,6.840309
1403,6.6852846
1603,6.586075
1803,7.3686795
2003,7.422848
2203,8.137966
2404,10.844012
2605,10.369512
2805,-4.332233
2805,-7.9046817
3005,-6.8682914
3205,-9.761984
3405,-1.446023
3605,0.76247835
3806,2.538976
4006,2.6854713
4207,2.75625
4408,2.3745244
4408,3.3188872
4609,5.10152
4809,10.419491
5010,15.467515
5210,-0.16003746
5410,11.875764
5611,10.16765
5811,1.9601779
6011,18.559628
6011,2.6518028
6211,14.18138
6413,7.076886
6613,12.146608
6813,7.5557265
7013,5.487585
7213,4.8692827
7414,4.8119717
7616,5.1327944
7616,4.168679
7817,4.16838
8018,2.5358336
8219,1.8787749
8419,4.3554273
8620,5.2367926
8820,7.0927477
9020,5.6423106
9221,4.5688105
9421,2.728866
9422,1.6646435
9622,0.2504185
9823,-0.6703017
10023,0.8806921
10224,2.216507
10425,2.9323733
10626,4.051962
10826,5.3342066
11026,5.513024
11026,6.2410107
11226,6.684836
11426,10.264317
11627,13.507861
11827,-5.75394
12028,18.651953
12229,-1.583091
12430,0.22976851
12630,18.243143
12630,-8.227151
12830,11.42326
13030,14.923433
13230,3.4333599
13431,3.0612113
13631,4.6368957
13832,4.2921305
14032,1.9275568
14233,0.3108721
14233,-0.10108024
14434,-0.08057988
14634,-2.299556
14834,-2.6832268
15035,-2.0011785
15235,-0.85270995
15435,0.07788634
15635,0.0145896375
15836,-0.13684362
16037,-0.709806
16037,-0.18263274
16236,0.5414636
16437,1.842413
16638,4.567613
16839,5.2562456
17039,5.398102
17240,2.0887165
17440,-0.6640169
17640,4.791172
17640,1.8020108
17841,3.7824645
18041,3.30946
18241,2.443657
18441,3.1530888
18641,3.283872
18841,3.4121115
19042,4.2417026
19243,3.3175404
19443,3.0342765
19443,3.037718
19643,0.74901104
19843,-0.79270524
20044,3.2154877
20245,0.68077624
20445,2.7207856
20645,6.373889
20845,5.1947446
21045,5.0994253
21045,5.0572276
21245,4.980314
21446,4.121843
21646,4.101492
21847,3.1866076
22048,3.5538182
22248,2.930877
22448,2.4610147
22648,2.4472482
22848,-2.352827
22848,-2.9166615
23048,0.14342761
23249,-4.861501
23449,-4.2720785
23649,3.176881
23849,10.725799
24049,11.427749
24250,7.8650274
24451,8.15293
24451,9.975516
24652,3.7371242
24852,0.8375965
25053,1.2993782
25253,1.3065608
25454,1.3278093
25655,1.3094039
25855,1.2130373
26055,1.2643629
26055,1.1543794
26256,1.7077391
26457,1.3129952
26658,3.0462475
26858,5.0145807
27059,7.961095
27260,6.95568
27460,6.997578
27663,6.993987
27663,6.847043
27864,6.958972
28064,5.8824787
28264,6.5974474
28465,7.631443
28666,8.883311
28866,9.145327
29067,7.8229795
29268,5.467983
29468,6.45604
29468,7.4521775
29668,4.5221233
29868,1.8053029
30070,3.0101848
30270,3.8393269
30471,5.2649245
30671,9.079186
30872,3.5701287
31072,4.0206876
31072,9.837101
31272,5.477859
31473,2.7816882
31674,8.096966
31874,10.158223
32075,6.656704
32276,6.560337
32476,6.7208986
32676,6.638897
32676,6.4416747
32876,6.4801316
33076,6.9553804
33276,6.7197013
33477,7.5986724
33678,6.305654
33879,4.7175503
34079,3.0238018
34280,1.0976666
34480,1.0687866
34480,0.8741081
34680,3.3031752
34881,4.7202435
35082,5.600113
35283,7.1540995
35484,7.740529
35685,7.7750955
35886,7.5784717
36087,6.2794676
36087,7.9431386
36288,7.827768
36489,7.3897786
36689,8.820912
36889,7.729007
37092,7.574132
37293,6.8545246
37493,6.7262855
37693,6.8443494
37693,6.1811557
37894,5.7521443
38095,5.2855744
38295,4.6695166
38495,4.678644
38696,4.2147675
38896,4.337022
39097,4.307244
39297,4.541726
39297,4.4989295
39498,5.0870056
39698,4.568212
39898,4.840103
40098,4.393136
40099,4.393136
